"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"days_isolation","numeric",0.200981537742463,61,22.8613629716291,22,22,NA,9.38803762524725,NA,0,120,120,1.30382130195275,15.5687023937365,8.03021197958765,47.9576711690535,NA,NA
"local_diagnoses","numeric",0,2,0.736854405234868,1,1,NA,0.440392229310252,NA,0,1,1,-1.07540068478753,-14.364416713969,-0.843710377986795,-5.63614797851753,NA,NA
"age","numeric",0.00210329516242113,63,38.6747072599532,36,36,NA,13.1161912816638,NA,18,88,70,0.643596946988642,8.58765872181123,-0.379221565852942,-2.53061076441754,NA,NA
"gender","numeric",0.00163589623743865,4,1.68281835205993,2,2,NA,0.489462567537276,NA,1,3,2,-0.48916102605933,-6.52851283353841,-1.03734905477161,-6.92402783620594,NA,NA
"education","numeric",0.0144893666744566,10,6.56011382499407,7,7,NA,1.62252666431545,NA,1,9,8,-0.49204987139204,-6.52468730258938,-0.469384130526991,-3.11280401697933,NA,NA
"income","numeric",0.0364571161486329,6,0.168809119573126,0,0,NA,1.10296112984494,NA,-2,2,4,-0.282587784967808,-3.70520593197668,-0.762135007393,-4.99765198815319,NA,NA
"conspiracy","numeric",0.0200981537742463,22,-5.59670880038159,-9,-9,NA,6.09618034001129,NA,-10,10,20,1.36373313036424,18.0318998045253,0.640440832825658,4.23510800866487,NA,NA
"confusion","numeric",0.000467398924982473,6,1.26303483750292,1,1,NA,1.13093728024783,NA,0,4,4,0.662635014612424,8.84892717219384,-0.392921484843979,-2.62417849902431,NA,NA
"fake_news","numeric",0.00116849731245618,7,2.76883481516144,3,3,NA,1.16079259837521,NA,0,5,5,0.214163365757614,2.85896714181225,-0.628872883576899,-4.1985398209289,NA,NA
"perceivedrisk_1","numeric",0,5,1.83781257303108,2,2,NA,1.06161752678852,NA,0,4,4,0.118792989080172,1.58674996397523,-0.577151304207338,-3.85548197743973,NA,NA
"perceivedrisk_2","numeric",0,5,1.66300537508764,2,2,NA,1.0895025640376,NA,0,4,4,0.243518119299852,3.25273713556933,-0.64722775001662,-4.32360614503869,NA,NA
"perceivedrisk_3","numeric",0,5,1.24515073615331,1,1,NA,1.10566530372252,NA,0,4,4,0.493042769465362,6.58570512237405,-0.61728266406037,-4.12356719792799,NA,NA
"perceivedrisk_4","numeric",0,5,2.22949287216639,2,2,NA,1.04084849583818,NA,0,4,4,-0.148923456821729,-1.98921074026908,-0.586864829779056,-3.92037020086771,NA,NA
"perceivedrisk_5","numeric",0,5,2.35428838513671,2,2,NA,1.08076155427454,NA,0,4,4,-0.299037860239365,-3.99432927512086,-0.599770884995722,-4.00658513779146,NA,NA
"perceivedrisk_6","numeric",0,5,2.12035522318299,2,2,NA,1.18003267164031,NA,0,4,4,-0.199589075147145,-2.66596505611831,-0.806427522071924,-5.38709131348117,NA,NA
"anxiety_1","numeric",0,4,1.44963776583314,1,1,NA,0.859576982970898,NA,0,3,3,0.327207234641575,4.37059519926346,-0.579909122460777,-3.87390473503496,NA,NA
"anxiety_2","numeric",0,4,1.54194905351718,2,2,NA,0.923211175435608,NA,0,3,3,-0.213930341405399,-2.85752521379131,-0.809277902563764,-5.40613240467342,NA,NA
"anxiety_3","numeric",0.000233699462491236,5,1.42239364188873,1,1,NA,0.924270047227933,NA,0,3,3,0.186113338190834,2.48567570859122,-0.804200924186752,-5.37159016359786,NA,NA
"anxiety_4","numeric",0,4,1.44636597335826,1,1,NA,0.820130234997819,NA,0,3,3,0.0678993059371774,0.906949324905426,-0.519383356541696,-3.46958095031746,NA,NA
"anxiety_5","numeric",0.000233699462491236,5,0.75549322113137,1,1,NA,0.852761802014947,NA,0,3,3,0.998131566882663,13.3307554090205,0.32617812622354,2.17867843931534,NA,NA
"anxiety_6","numeric",0,4,1.20028043935499,1,1,NA,0.87232656615824,NA,0,3,3,0.25372098150225,3.38901951517318,-0.672373503600682,-4.49158462667037,NA,NA
"anxiety_7","numeric",0,4,0.844122458518345,1,1,NA,0.885843902869192,NA,0,3,3,0.789061590503749,10.5397082774058,-0.233912436518506,-1.56258017043678,NA,NA
"depression_1","numeric",0,4,1.06052816078523,1,1,NA,0.837598696864112,NA,0,3,3,0.375048867115785,5.0096287751737,-0.539264634599375,-3.6023917205281,NA,NA
"depression_2","numeric",0,4,0.702967983173639,1,1,NA,0.793479785406612,NA,0,3,3,0.895011719994521,11.9549127053304,0.0827558645919502,0.552825129451816,NA,NA
"depression_3","numeric",0,4,1.32110306146296,1,1,NA,0.807399798826395,NA,0,3,3,0.220161812976327,2.94076065863738,-0.403058248058259,-2.69250680006917,NA,NA
"depression_4","numeric",0,4,1.37462023837345,1,1,NA,0.945756962115648,NA,0,3,3,0.213715174376618,2.85465116981102,-0.852021011041418,-5.69166460947658,NA,NA
"depression_5","numeric",0,4,1.1626548258939,1,1,NA,0.937354288651796,NA,0,3,3,0.43114846719243,5.75896624946325,-0.688492852236666,-4.5992649831056,NA,NA
"depression_6","numeric",0,4,1.18438887590559,1,1,NA,0.97843951965411,NA,0,3,3,0.30005623327769,4.0079319581949,-0.97907049666268,-6.54037966649011,NA,NA
"depression_7","numeric",0,4,0.836176676793643,1,1,NA,0.890991727064887,NA,0,3,3,0.851409166136319,11.372501644716,-0.0965986996793244,-0.645297936507743,NA,NA
"socialisolation_1","numeric",0.000233699462491236,6,1.37330528284245,1,1,NA,1.24193272030455,NA,0,4,4,0.694659444021359,9.27766984640765,-0.491498452681442,-3.28292118852889,NA,NA
